trial,coherence,rt,response,correct,v,a
301,0.1,0.4190000000000001,1,True,0.5,1.5
302,0.1,0.9860000000000004,1,True,0.5,1.5
303,0.1,1.7499999999999512,1,True,0.5,1.5
304,0.1,0.5630000000000002,0,False,0.5,1.5
305,0.1,0.6860000000000003,1,True,0.5,1.5
306,0.1,1.5889999999999689,0,False,0.5,1.5
307,0.1,0.4680000000000001,0,False,0.5,1.5
308,0.1,0.5900000000000002,1,True,0.5,1.5
309,0.1,0.5640000000000002,1,True,0.5,1.5
310,0.1,0.6780000000000003,1,True,0.5,1.5
311,0.1,0.36700000000000005,1,True,0.5,1.5
312,0.1,0.5800000000000002,1,True,0.5,1.5
313,0.1,0.7030000000000003,0,False,0.5,1.5
314,0.1,0.5420000000000001,1,True,0.5,1.5
315,0.1,0.6020000000000002,1,True,0.5,1.5
316,0.1,0.5300000000000001,1,True,0.5,1.5
317,0.1,0.5450000000000002,1,True,0.5,1.5
318,0.1,0.4580000000000001,0,False,0.5,1.5
319,0.1,1.1490000000000007,1,True,0.5,1.5
320,0.1,0.44800000000000006,0,False,0.5,1.5
321,0.1,0.5300000000000001,1,True,0.5,1.5
322,0.1,0.5430000000000001,0,False,0.5,1.5
