rt,correct,model,final_boundary
489.0000000000001,1,Adaptive DDM,1.5595984494946555
732.0000000000002,1,Adaptive DDM,1.4528114481690353
1158.0000000000007,0,Adaptive DDM,1.3381607337652066
907.0000000000003,0,Adaptive DDM,1.3967526863573176
969.0000000000005,1,Adaptive DDM,1.3801678339716317
964.0000000000005,1,Adaptive DDM,1.3814488906841431
842.0000000000003,0,Adaptive DDM,1.4158782981829943
851.0000000000003,1,Adaptive DDM,1.4131176176786362
1388.9999999999961,1,Adaptive DDM,1.3006299931683944
459.00000000000006,1,Adaptive DDM,1.5756897179523
655.0000000000002,1,Adaptive DDM,1.482539949952376
1051.0000000000007,1,Adaptive DDM,1.3604732321177966
1091.0000000000007,1,Adaptive DDM,1.3517103532623311
1769.9999999999543,1,Adaptive DDM,1.2611767439273698
527.0000000000001,1,Adaptive DDM,1.5402286220523835
690.0000000000001,1,Adaptive DDM,1.4686007091726436
704.0000000000002,0,Adaptive DDM,1.4632267186729642
477.0000000000001,1,Adaptive DDM,1.5659481978787353
535.0000000000001,1,Adaptive DDM,1.5362895602273337
542.0000000000001,0,Adaptive DDM,1.5328814437683687
597.0000000000002,0,Adaptive DDM,1.5073129264936325
539.0000000000001,1,Adaptive DDM,1.534337684349228
571.0000000000002,0,Adaptive DDM,1.5191372053757282
555.0000000000001,1,Adaptive DDM,1.526646246366123
752.0000000000002,1,Adaptive DDM,1.4456352853700856
799.0000000000003,1,Adaptive DDM,1.4295950588474606
783.0000000000003,0,Adaptive DDM,1.4349290926340752
525.0000000000001,0,Adaptive DDM,1.5412207954344839
811.0000000000003,1,Adaptive DDM,1.4256777096984037
660.0000000000001,1,Adaptive DDM,1.480503546386737
747.0000000000003,1,Adaptive DDM,1.44740919385198
1129.0000000000005,1,Adaptive DDM,1.3438587592594329
622.0000000000001,0,Adaptive DDM,1.496370151114908
670.0000000000001,1,Adaptive DDM,1.4764762732505456
712.0000000000002,0,Adaptive DDM,1.4602061576616019
528.0000000000001,0,Adaptive DDM,1.5397336504408208
484.0000000000001,1,Adaptive DDM,1.5622302949495572
871.0000000000003,0,Adaptive DDM,1.407114584861246
641.0000000000002,0,Adaptive DDM,1.4883238068435547
1033.0000000000005,1,Adaptive DDM,1.3645913538555812
655.0000000000002,1,Adaptive DDM,1.482539949952376
913.0000000000003,1,Adaptive DDM,1.3950794530244097
753.0000000000003,1,Adaptive DDM,1.445282097399231
1412.9999999999936,1,Adaptive DDM,1.2974253432083338
484.0000000000001,0,Adaptive DDM,1.5622302949495572
824.0000000000003,1,Adaptive DDM,1.4215127348409493
542.0000000000001,0,Adaptive DDM,1.5328814437683687
956.0000000000005,1,Adaptive DDM,1.3835186712182506
899.0000000000003,0,Adaptive DDM,1.3990072187335394
602.0000000000001,0,Adaptive DDM,1.5050914206053105
762.0000000000002,1,Adaptive DDM,1.442127133009846
913.0000000000003,1,Adaptive DDM,1.3950794530244097
1102.0000000000005,1,Adaptive DDM,1.3493913170947793
655.0000000000002,0,Adaptive DDM,1.482539949952376
1186.0000000000007,1,Adaptive DDM,1.3328894546634524
949.0000000000005,1,Adaptive DDM,1.3853502160491171
803.0000000000003,0,Adaptive DDM,1.428281433311857
1111.0000000000007,1,Adaptive DDM,1.3475221793810106
602.0000000000001,1,Adaptive DDM,1.5050914206053105
955.0000000000005,0,Adaptive DDM,1.383779144531224
933.0000000000003,0,Adaptive DDM,1.3896095285391392
874.0000000000003,1,Adaptive DDM,1.406229562024229
616.0000000000001,1,Adaptive DDM,1.4989591153384632
555.0000000000001,1,Adaptive DDM,1.526646246366123
609.0000000000002,1,Adaptive DDM,1.5020091708184538
1241.0000000000005,0,Adaptive DDM,1.3231580154460922
662.0000000000001,1,Adaptive DDM,1.479693251797182
611.0000000000002,1,Adaptive DDM,1.5011344560342108
566.0000000000001,0,Adaptive DDM,1.5214644506769737
807.0000000000003,1,Adaptive DDM,1.4269756659314268
868.0000000000003,1,Adaptive DDM,1.408003599275342
653.0000000000002,0,Adaptive DDM,1.483358797459358
568.0000000000002,1,Adaptive DDM,1.5205314575144313
578.0000000000002,0,Adaptive DDM,1.5159082464198075
764.0000000000002,0,Adaptive DDM,1.4414317951391258
522.0000000000001,0,Adaptive DDM,1.5427146476605729
1037.0000000000005,0,Adaptive DDM,1.3636665828198664
1698.999999999962,0,Adaptive DDM,1.2669278802921689
1594.9999999999736,1,Adaptive DDM,1.276538798171849
953.0000000000005,1,Adaptive DDM,1.384301264753561
466.00000000000006,0,Adaptive DDM,1.5718700641890624
